duration,T_years,point_est,ci_lo_2p5,ci_hi_97p5,ci_width
15min,2,90.197,83.692,104.974,21.282
15min,5,132.628,114.488,168.121,53.633
15min,10,176.767,131.56,243.687,112.128
15min,25,258.897,152.402,400.68,248.278
15min,50,346.62,165.766,586.086,420.32
15min,100,465.626,179.242,860.999,681.756
30min,2,66.756,61.94,75.282,13.341
30min,5,91.805,81.694,107.64,25.947
30min,10,114.993,91.182,146.65,55.468
30min,25,153.755,100.077,218.204,118.127
30min,50,191.13,106.393,293.39,186.997
30min,100,237.482,112.004,400.446,288.442
1hr,2,42.111,38.302,47.055,8.753
1hr,5,57.268,50.373,67.301,16.927
1hr,10,69.884,56.811,87.177,30.366
1hr,25,89.197,63.806,121.436,57.63
1hr,50,106.371,68.157,152.127,83.97
1hr,100,126.256,72.08,198.583,126.502
2hr,2,27.01,24.264,30.152,5.887
2hr,5,36.69,32.286,41.963,9.676
2hr,10,43.421,36.127,52.006,15.879
2hr,25,52.293,39.733,66.954,27.222
2hr,50,59.172,41.879,80.59,38.711
2hr,100,66.286,43.623,96.859,53.237
6hr,2,12.58,11.453,13.981,2.528
6hr,5,16.671,14.776,18.76,3.984
6hr,10,19.449,16.722,22.228,5.506
6hr,25,23.043,18.894,26.883,7.989
6hr,50,25.786,20.362,30.662,10.3
6hr,100,28.586,21.719,34.696,12.977
24hr,2,4.709,4.205,5.316,1.111
24hr,5,6.207,5.499,6.827,1.328
24hr,10,7.109,6.29,7.754,1.464
24hr,25,8.163,7.177,8.936,1.76
24hr,50,8.893,7.689,9.905,2.217
24hr,100,9.584,8.122,10.873,2.751
