duration,intensity_mm_hr,empirical_cdf,gumbel_cdf,lp3_cdf,gumbel_error,lp3_error
15min,50.8,0.0227,0.2378,0.0001,0.2151,0.0226
15min,50.8,0.0455,0.2378,0.0001,0.1924,0.0454
15min,60.96,0.0682,0.2899,0.0001,0.2218,0.0681
15min,60.96,0.0909,0.2899,0.0001,0.199,0.0908
15min,71.12,0.1136,0.344,0.1605,0.2303,0.0469
15min,71.12,0.1364,0.344,0.1605,0.2076,0.0241
15min,71.12,0.1591,0.344,0.1605,0.1849,0.0014
15min,81.28,0.1818,0.3985,0.3669,0.2167,0.1851
15min,81.28,0.2045,0.3985,0.3669,0.194,0.1623
15min,81.28,0.2273,0.3985,0.3669,0.1713,0.1396
15min,81.28,0.25,0.3985,0.3669,0.1485,0.1169
15min,81.28,0.2727,0.3985,0.3669,0.1258,0.0941
15min,81.28,0.2955,0.3985,0.3669,0.1031,0.0714
15min,81.28,0.3182,0.3985,0.3669,0.0803,0.0487
15min,91.44,0.3409,0.4525,0.5157,0.1116,0.1747
15min,91.44,0.3636,0.4525,0.5157,0.0888,0.152
15min,91.44,0.3864,0.4525,0.5157,0.0661,0.1293
15min,91.44,0.4091,0.4525,0.5157,0.0434,0.1066
15min,91.44,0.4318,0.4525,0.5157,0.0206,0.0838
15min,91.44,0.4545,0.4525,0.5157,0.0021,0.0611
15min,91.44,0.4773,0.4525,0.5157,0.0248,0.0384
15min,91.44,0.5,0.4525,0.5157,0.0475,0.0157
15min,91.44,0.5227,0.4525,0.5157,0.0703,0.0071
15min,91.44,0.5455,0.4525,0.5157,0.093,0.0298
15min,91.44,0.5682,0.4525,0.5157,0.1157,0.0525
15min,91.44,0.5909,0.4525,0.5157,0.1384,0.0753
15min,101.6,0.6136,0.5048,0.6217,0.1088,0.008
15min,111.76,0.6364,0.5547,0.6984,0.0816,0.062
15min,111.76,0.6591,0.5547,0.6984,0.1044,0.0393
15min,111.76,0.6818,0.5547,0.6984,0.1271,0.0166
15min,121.92,0.7045,0.6017,0.7551,0.1028,0.0506
15min,121.92,0.7273,0.6017,0.7551,0.1256,0.0279
15min,121.92,0.75,0.6017,0.7551,0.1483,0.0051
15min,121.92,0.7727,0.6017,0.7551,0.171,0.0176
15min,132.08,0.7955,0.6454,0.798,0.15,0.0026
15min,132.08,0.8182,0.6454,0.798,0.1728,0.0201
15min,142.24,0.8409,0.6856,0.8311,0.1553,0.0098
15min,152.4,0.8636,0.7223,0.857,0.1414,0.0066
15min,162.56,0.8864,0.7554,0.8776,0.1309,0.0087
15min,172.72,0.9091,0.7852,0.8943,0.1239,0.0148
15min,172.72,0.9318,0.7852,0.8943,0.1466,0.0375
15min,223.52,0.9545,0.8913,0.9432,0.0632,0.0114
15min,629.92,0.9773,0.9997,0.995,0.0224,0.0178
30min,40.64,0.0227,0.1649,0.0001,0.1421,0.0226
30min,40.64,0.0455,0.1649,0.0001,0.1194,0.0454
30min,45.72,0.0682,0.2143,0.0001,0.1461,0.0681
30min,45.72,0.0909,0.2143,0.0001,0.1234,0.0908
30min,45.72,0.1136,0.2143,0.0001,0.1007,0.1135
30min,50.8,0.1364,0.2681,0.082,0.1318,0.0543
30min,55.88,0.1591,0.3247,0.2303,0.1656,0.0712
30min,55.88,0.1818,0.3247,0.2303,0.1429,0.0485
30min,55.88,0.2045,0.3247,0.2303,0.1202,0.0257
