year,month,day,hour,minute,precip_mm
1971,5,8,6,15,0.0
1971,5,8,6,45,2.54
1971,5,8,7,15,2.54
1971,5,8,11,15,2.54
1971,5,8,11,30,2.54
1971,5,8,12,15,10.16
1971,5,8,12,30,2.54
1971,5,8,12,45,2.54
1971,5,8,13,0,7.619999999999999
1971,5,8,17,15,2.54
1971,5,8,17,30,5.08
1971,5,8,17,45,2.54
1971,5,8,18,0,2.54
1971,5,9,23,45,2.54
1971,5,10,20,0,2.54
1971,5,10,20,15,10.16
1971,5,10,20,30,5.08
1971,5,11,11,45,7.619999999999999
1971,5,12,11,15,2.54
1971,5,12,11,30,5.08
1971,5,12,11,45,5.08
1971,5,12,12,15,2.54
1971,5,12,12,30,2.54
1971,5,12,13,15,7.619999999999999
1971,5,12,13,30,5.08
1971,5,12,17,0,7.619999999999999
1971,5,12,17,15,17.779999999999998
1971,5,12,17,30,2.54
1971,5,20,10,30,2.54
1971,5,20,10,45,2.54
1971,5,20,11,0,2.54
1971,5,20,11,30,2.54
1971,5,20,12,15,2.54
1971,5,25,5,0,2.54
1971,5,25,5,15,5.08
1971,5,25,5,30,7.619999999999999
1971,5,25,5,45,2.54
1971,5,27,16,15,2.54
1971,5,27,17,15,2.54
1971,6,1,0,15,0.0
1971,6,3,20,15,5.08
1971,6,3,20,30,5.08
1971,6,6,14,30,2.54
1971,6,6,14,45,5.08
1971,6,6,15,0,12.7
1971,6,6,15,15,2.54
1971,6,6,15,45,2.54
1971,6,7,18,45,2.54
1971,6,7,20,15,2.54
1971,6,7,20,30,5.08
1971,6,7,21,0,2.54
1971,6,8,21,15,2.54
1971,6,8,21,30,2.54
1971,6,8,22,0,2.54
1971,6,15,16,15,2.54
1971,6,15,16,30,5.08
1971,6,15,21,0,5.08
1971,6,16,14,0,5.08
1971,6,16,14,15,2.54
1971,6,16,18,30,2.54
1971,6,16,18,45,7.619999999999999
1971,6,16,19,0,7.619999999999999
1971,6,22,14,30,2.54
1971,6,22,17,45,2.54
1971,7,1,0,15,0.0
1971,7,1,12,15,2.54
1971,7,1,14,30,2.54
1971,7,2,14,30,2.54
1971,7,2,14,45,2.54
1971,7,2,18,15,2.54
1971,7,5,13,0,12.7
1971,7,5,13,15,2.54
1971,7,6,13,15,2.54
1971,7,6,14,45,2.54
1971,7,12,14,30,2.54
1971,7,12,14,45,5.08
1971,7,16,12,30,2.54
1971,7,16,12,45,5.08
1971,7,16,13,0,10.16
1971,7,16,13,15,2.54
1971,7,16,13,45,2.54
1971,7,16,18,45,5.08
1971,7,16,19,15,2.54
1971,7,16,20,30,2.54
1971,7,16,21,45,2.54
1971,7,16,22,45,2.54
1971,7,16,23,45,2.54
1971,7,20,9,15,2.54
1971,7,20,11,30,2.54
1971,7,25,15,15,5.08
1971,7,25,15,30,25.4
1971,7,25,15,45,10.16
1971,7,26,8,45,2.54
1971,7,28,14,45,2.54
1971,7,28,21,30,7.619999999999999
1971,7,28,21,45,5.08
1971,7,28,22,45,2.54
1971,7,29,8,15,2.54
1971,7,29,12,15,2.54
1971,7,29,12,30,22.86
1971,7,29,12,45,12.7
1971,7,29,13,0,20.32
1971,7,29,13,15,12.7
1971,7,29,13,30,5.08
1971,7,29,13,45,5.08
1971,7,29,14,0,5.08
1971,7,29,14,15,2.54
1971,7,29,15,0,5.08
1971,7,29,15,15,2.54
1971,7,29,16,0,2.54
1971,7,30,13,15,2.54
1971,7,30,15,30,7.619999999999999
1971,7,30,16,15,2.54
1971,7,30,16,30,2.54
1971,7,30,16,45,2.54
1971,7,30,17,0,2.54
1971,7,30,18,30,2.54
1971,7,30,19,45,2.54
1971,7,31,12,15,2.54
1971,7,31,12,30,7.619999999999999
1971,7,31,12,45,2.54
1971,7,31,13,30,2.54
1971,8,1,0,15,0.0
1971,8,2,18,0,30.479999999999997
1971,8,2,18,15,5.08
1971,8,6,10,30,2.54
1971,8,11,0,15,2.54
1971,8,11,11,15,2.54
1971,8,11,11,30,2.54
1971,8,21,17,15,2.54
1971,8,23,14,15,2.54
1971,8,25,14,0,25.4
1971,8,25,14,15,20.32
1971,8,25,14,30,25.4
1971,8,25,14,45,10.16
1971,8,25,15,0,2.54
1971,8,26,8,45,2.54
1971,8,31,12,15,2.54
