T_years,duration_hours,intensity_mm_per_hr
2,0.25,123.465
2,0.2558,121.3826
2,0.261735,119.3354
2,0.267808,117.3227
2,0.274022,115.344
2,0.280379,113.3986
2,0.286884,111.4861
2,0.293541,109.6058
2,0.300351,107.7572
2,0.30732,105.9398
2,0.31445,104.153
2,0.321746,102.3964
2,0.329211,100.6694
2,0.336849,98.9715
2,0.344664,97.3023
2,0.352661,95.6612
2,0.360843,94.0478
2,0.369215,92.4616
2,0.377782,90.9022
2,0.386547,89.369
2,0.395515,87.8617
2,0.404692,86.3799
2,0.414081,84.923
2,0.423689,83.4907
2,0.433519,82.0826
2,0.443577,80.6982
2,0.453869,79.3372
2,0.464399,77.9991
2,0.475174,76.6836
2,0.486199,75.3902
2,0.497479,74.1187
2,0.509021,72.8686
2,0.520831,71.6396
2,0.532916,70.4314
2,0.54528,69.2435
2,0.557931,68.0757
2,0.570876,66.9275
2,0.584121,65.7987
2,0.597674,64.689
2,0.611541,63.5979
2,0.625729,62.5253
2,0.640247,61.4708
2,0.655102,60.434
2,0.670301,59.4147
2,0.685853,58.4127
2,0.701766,57.4275
2,0.718048,56.4589
2,0.734708,55.5067
2,0.751754,54.5705
2,0.769196,53.6502
2,0.787042,52.7453
2,0.805303,51.8557
2,0.823987,50.9811
2,0.843105,50.1213
2,0.862666,49.276
2,0.882681,48.4449
2,0.903161,47.6278
2,0.924115,46.8245
2,0.945556,46.0348
2,0.967495,45.2584
2,0.989942,44.4951
2,1.01291,43.7446
2,1.036411,43.0068
2,1.060457,42.2815
2,1.085062,41.5684
2,1.110237,40.8673
2,1.135996,40.178
2,1.162353,39.5004
2,1.189321,38.8342
2,1.216915,38.1792
2,1.245149,37.5353
2,1.274038,36.9022
2,1.303598,36.2799
2,1.333843,35.668
2,1.364791,35.0664
2,1.396456,34.475
2,1.428856,33.8935
2,1.462007,33.3219
2,1.495928,32.7599
2,1.530636,32.2074
2,1.566149,31.6642
2,1.602486,31.1301
2,1.639666,30.6051
2,1.677708,30.0889
2,1.716634,29.5814
2,1.756462,29.0825
2,1.797215,28.592
2,1.838913,28.1098
2,1.881578,27.6357
2,1.925234,27.1696
2,1.969902,26.7114
2,2.015606,26.2608
2,2.062372,25.8179
2,2.110222,25.3825
2,2.159182,24.9544
2,2.209278,24.5335
2,2.260537,24.1197
2,2.312984,23.7129
2,2.366649,23.313
2,2.421559,22.9198
2,2.477743,22.5333
2,2.53523,22.1532
2,2.594051,21.7796
2,2.654237,21.4123
2,2.715819,21.0511
2,2.77883,20.6961
2,2.843303,20.347
2,2.909272,20.0039
2,2.976772,19.6665
2,3.045837,19.3348
2,3.116505,19.0087
2,3.188813,18.6881
2,3.262798,18.3729
2,3.338499,18.063
2,3.415958,17.7584
2,3.495213,17.4589
2,3.576307,17.1644
2,3.659283,16.8749
2,3.744183,16.5903
2,3.831054,16.3105
2,3.91994,16.0354
2,4.010889,15.765
2,4.103947,15.4991
2,4.199165,15.2377
2,4.296592,14.9807
2,4.396279,14.728
2,4.498279,14.4796
2,4.602646,14.2354
2,4.709434,13.9953
2,4.8187,13.7593
2,4.930501,13.5272
2,5.044896,13.2991
2,5.161945,13.0748
2,5.28171,12.8542
2,5.404254,12.6374
2,5.52964,12.4243
2,5.657936,12.2148
2,5.789209,12.0087
2,5.923527,11.8062
2,6.060961,11.6071
2,6.201585,11.4113
2,6.345471,11.2189
2,6.492695,11.0296
2,6.643335,10.8436
2,6.797471,10.6607
2,6.955182,10.4809
2,7.116552,10.3042
2,7.281667,10.1304
2,7.450613,9.9595
2,7.623478,9.7915
2,7.800354,9.6264
2,7.981334,9.464
2,8.166512,9.3044
2,8.355988,9.1475
2,8.549859,8.9932
2,8.748228,8.8415
2,8.9512,8.6924
2,9.158881,8.5458
2,9.371381,8.4017
2,9.588811,8.26
2,9.811286,8.1207
2,10.038922,7.9837
2,10.27184,7.8491
2,10.510162,7.7167
2,10.754013,7.5865
2,11.003522,7.4586
2,11.258821,7.3328
2,11.520042,7.2091
2,11.787324,7.0875
2,12.060807,6.968
2,12.340636,6.8505
2,12.626957,6.7349
2,12.919921,6.6213
2,13.219683,6.5097
2,13.526399,6.3999
2,13.840231,6.2919
2,14.161345,6.1858
2,14.48991,6.0815
2,14.826097,5.9789
2,15.170085,5.8781
2,15.522053,5.7789
2,15.882188,5.6815
2,16.250678,5.5857
2,16.627718,5.4914
2,17.013506,5.3988
2,17.408244,5.3078
2,17.812141,5.2183
2,18.22541,5.1302
2,18.648266,5.0437
2,19.080934,4.9586
2,19.52364,4.875
2,19.976617,4.7928
2,20.440104,4.712
2,20.914345,4.6325
2,21.399589,4.5544
2,21.896091,4.4775
2,22.404113,4.402
2,22.923922,4.3278
2,23.455791,4.2548
2,24.0,4.183
5,0.25,158.2072
5,0.2558,155.5389
5,0.261735,152.9156
5,0.267808,150.3366
5,0.274022,147.8011
5,0.280379,145.3083
5,0.286884,142.8575
5,0.293541,140.4481
5,0.300351,138.0794
5,0.30732,135.7505
5,0.31445,133.461
5,0.321746,131.2101
5,0.329211,128.9971
5,0.336849,126.8215
5,0.344664,124.6825
5,0.352661,122.5796
5,0.360843,120.5122
5,0.369215,118.4797
5,0.377782,116.4815
5,0.386547,114.5169
5,0.395515,112.5855
5,0.404692,110.6866
5,0.414081,108.8198
