duration,T_years,gumbel_intensity,lp3_intensity,pct_diff_lp3_vs_gumbel,gumbel_passes_ks,lp3_passes_ks,best_fit
15min,2,100.652,90.193,-10.39,False,True,LP3
15min,5,178.205,132.616,-25.58,False,True,LP3
15min,10,229.552,176.745,-23.0,False,True,LP3
15min,25,294.429,258.853,-12.08,False,True,LP3
15min,50,342.558,346.549,1.16,False,True,LP3
15min,100,390.333,465.513,19.26,False,True,LP3
30min,2,71.52,66.761,-6.65,True,True,LP3
30min,5,108.139,91.804,-15.11,True,True,LP3
30min,10,132.384,114.986,-13.14,True,True,LP3
30min,25,163.017,153.737,-5.69,True,True,LP3
30min,50,185.743,191.098,2.88,True,True,LP3
30min,100,208.301,237.432,13.98,True,True,LP3
1hr,2,44.148,42.109,-4.62,True,True,LP3
1hr,5,62.775,57.262,-8.78,True,True,LP3
1hr,10,75.107,69.874,-6.97,True,True,LP3
1hr,25,90.69,89.18,-1.67,True,True,LP3
1hr,50,102.25,106.347,4.01,True,True,LP3
1hr,100,113.724,126.225,10.99,True,True,LP3
2hr,2,27.296,27.013,-1.04,True,True,LP3
2hr,5,37.434,36.697,-1.97,True,True,LP3
2hr,10,44.146,43.431,-1.62,True,True,LP3
2hr,25,52.627,52.307,-0.61,True,True,LP3
2hr,50,58.919,59.19,0.46,True,True,LP3
2hr,100,65.164,66.309,1.76,True,True,LP3
6hr,2,12.664,12.58,-0.66,True,True,LP3
6hr,5,16.724,16.67,-0.33,True,True,LP3
6hr,10,19.412,19.447,0.18,True,True,LP3
6hr,25,22.809,23.039,1.01,True,True,LP3
6hr,50,25.329,25.78,1.78,True,True,LP3
6hr,100,27.83,28.579,2.69,True,True,LP3
24hr,2,4.633,4.709,1.63,True,True,LP3
24hr,5,6.057,6.206,2.46,True,True,LP3
24hr,10,7.0,7.108,1.54,True,True,LP3
24hr,25,8.191,8.161,-0.37,True,True,LP3
24hr,50,9.075,8.892,-2.02,True,True,LP3
24hr,100,9.952,9.583,-3.72,True,True,LP3
