period,duration,T_years,intensity_mm_per_hr
1972-1992,15min,2,98.797
1972-1992,15min,5,135.411
1972-1992,15min,10,161.565
1972-1992,15min,25,196.814
1972-1992,15min,50,224.708
1972-1992,15min,100,254.035
1993-2013,15min,2,93.954
1993-2013,15min,5,119.842
1993-2013,15min,10,136.527
1993-2013,15min,25,157.241
1993-2013,15min,50,172.48
1993-2013,15min,100,187.602
1972-1992,30min,2,72.108
1972-1992,30min,5,91.838
1972-1992,30min,10,103.561
1972-1992,30min,25,117.155
1972-1992,30min,50,126.544
1972-1992,30min,100,135.401
1993-2013,30min,2,69.965
1993-2013,30min,5,84.635
1993-2013,30min,10,93.012
1993-2013,30min,25,102.462
1993-2013,30min,50,108.843
1993-2013,30min,100,114.764
1972-1992,1hr,2,41.77
1972-1992,1hr,5,53.42
1972-1992,1hr,10,61.027
1972-1992,1hr,25,70.571
1972-1992,1hr,50,77.66
1972-1992,1hr,100,84.749
1993-2013,1hr,2,45.304
1993-2013,1hr,5,56.061
1993-2013,1hr,10,62.223
1993-2013,1hr,25,69.176
1993-2013,1hr,50,73.865
1993-2013,1hr,100,78.208
1972-1992,2hr,2,24.758
1972-1992,2hr,5,30.554
1972-1992,2hr,10,34.019
1972-1992,2hr,25,38.071
1972-1992,2hr,50,40.897
1972-1992,2hr,100,43.586
1993-2013,2hr,2,30.467
1993-2013,2hr,5,39.214
1993-2013,2hr,10,43.618
1993-2013,2hr,25,48.014
1993-2013,2hr,50,50.634
1993-2013,2hr,100,52.819
1972-1992,6hr,2,11.222
1972-1992,6hr,5,13.926
1972-1992,6hr,10,15.896
1972-1992,6hr,25,18.59
1972-1992,6hr,50,20.754
1972-1992,6hr,100,23.057
1993-2013,6hr,2,13.916
1993-2013,6hr,5,18.327
1993-2013,6hr,10,20.847
1993-2013,6hr,25,23.655
1993-2013,6hr,50,25.518
1993-2013,6hr,100,27.216
1972-1992,24hr,2,4.314
1972-1992,24hr,5,5.599
1972-1992,24hr,10,6.442
1972-1992,24hr,25,7.503
1972-1992,24hr,50,8.294
1972-1992,24hr,100,9.086
1993-2013,24hr,2,5.059
1993-2013,24hr,5,6.71
1993-2013,24hr,10,7.621
1993-2013,24hr,25,8.602
1993-2013,24hr,50,9.232
1993-2013,24hr,100,9.79
